relationship	PC	prediction_contrib
Compound—causes—Osteopenia	6	0.00049663
Compound—causes—Bone pain	24	0.00049513
Compound—causes—Gangrene	4	0.00049137
Compound—causes—Leukorrhea	16	0.00048614
Compound—causes—Pyuria	8	0.00048355
Compound—causes—Hordeolum	4	0.00048295
Compound—causes—Heart rate irregular	2	0.00048279
Compound—causes—Myocardial ischaemia	9	0.00048229
Compound—causes—Depressive symptom	2	0.00048201
Compound—causes—Gastrooesophageal reflux disease	18	0.00047969
Compound—causes—Blood in stool	2	0.00047911
Compound—causes—Infectious mononucleosis	2	0.00047829
Compound—causes—Hemianopia	2	0.00047806
Compound—causes—Hypovitaminosis	1	0.00047325
Compound—causes—Diabetic peripheral neuropathy	2	0.00047205
Compound—causes—Haematoma	12	0.0004719
Compound—causes—Herpes simplex	18	0.00046978
Compound—causes—Cryptococcosis	2	0.00046945
Compound—causes—Rectal disorder	9	0.000466
Compound—causes—Creatine phosphokinase increased	4	0.0004624
Compound—causes—Peptic ulcer	16	0.00046118
Compound—causes—Pleurisy	4	0.00045826
Compound—causes—Expressive language disorder	1	0.00045818
Compound—causes—Prolonged menses	2	0.00045627
Compound—causes—Clonic convulsion	2	0.00045485
Compound—causes—Eye haemorrhage	6	0.00045455
Compound—causes—Coronary artery insufficiency	1	0.0004511
Compound—causes—Neonatal disorder	1	0.00045002
Compound—causes—Laboratory test abnormal	6	0.00044958
Compound—resembles—Olanzapine	30	0.00044674
Compound—resembles—Chlorpropamide	3	0.00044167
Compound—resembles—Hydrochlorothiazide	2	0.00043544
Compound—causes—Anorectal disorder	9	0.00043466
Compound—causes—Drug effect increased	1	0.00042665
Compound—causes—Cardiovascular disorder	20	0.00042521
Compound—causes—Influenza-like symptoms	12	0.00042481
Compound—causes—Cardiac output decreased	1	0.00042231
Compound—causes—Capillary fragility increased	2	0.00041789
Compound—causes—Sensory disturbance	5	0.00041578
Compound—causes—Cognitive impairment	6	0.00041534
Compound—causes—Chest tightness	4	0.00041167
Compound—causes—Gastrointestinal inflammation	1	0.0004112
Compound—resembles—Maprotiline	21	0.00040856
Compound—causes—Urination impaired	2	0.00040829
Compound—causes—Hyperuricaemia	7	0.00040655
Compound—causes—Purpuric rash	2	0.00040465
Compound—causes—Lymphoedema	2	0.0004016
Compound—causes—Oedema genital	2	0.00039983
Compound—causes—Extravasation	7	0.00039974
Compound—causes—Enlargement abdomen	9	0.00039968
Compound—causes—Conjunctival hyperaemia	3	0.00039553
Compound—causes—Vascular anomaly	2	0.00039438
Compound—causes—Thyrotropin high	1	0.00039364
Compound—causes—Keratitis	8	0.0003921
Compound—causes—Attention concentration difficulty	1	0.00039111
Compound—resembles—Metolazone	2	0.0003884
Compound—causes—Cardiomyopathy	5	0.00038458
Compound—causes—Bullous eruption	3	0.00038434
Compound—causes—Haematochezia	6	0.00038411
Compound—causes—Hypochloraemia	2	0.0003798
Compound—causes—Optic neuritis	5	0.00037807
Compound—causes—Road traffic accident	4	0.00037531
Compound—causes—Hepatic encephalopathy	1	0.00037439
Compound—causes—Retinal disorder	7	0.0003704
Compound—causes—Ocular hyperaemia	6	0.00036996
Compound—causes—Generalised spasm	2	0.00036917
Compound—causes—Dysgraphia	2	0.00036735
Compound—causes—Stinging	1	0.00036469
Compound—causes—Pain in jaw	3	0.00036431
Compound—causes—Retinitis	1	0.0003634
Compound—causes—Ventricular arrhythmia	6	0.00036286
Compound—causes—Polyarteritis nodosa	1	0.00036156
Compound—causes—Crystalluria	1	0.00035986
Compound—causes—Photopsia	6	0.00035952
Compound—causes—Appetite disorder	1	0.00035719
Compound—resembles—Olopatadine	4	0.00035369
Compound—causes—Lichen planus	1	0.00035161
Compound—causes—Dental caries	5	0.00034897
Compound—causes—Skin burning sensation	1	0.00034811
Compound—causes—Dementia	6	0.00034728
Compound—causes—Hypercalcaemia	4	0.00034716
Compound—causes—Anuria	4	0.00034437
Compound—causes—Aortic valve stenosis	1	0.00034403
Compound—causes—Hypercholesterolaemia	14	0.00034258
Compound—causes—Urethritis noninfective	3	0.00034157
Compound—causes—Respiratory tract infection	10	0.0003403
Compound—causes—Facial paralysis	6	0.00033887
Compound—causes—Ulcerative keratitis	2	0.00033821
Compound—causes—Dysphemia	2	0.00033803
Compound—causes—Thrombocytosis	8	0.00033783
Compound—causes—Obesity	4	0.00033728
Compound—causes—Hyperammonaemia	2	0.00033632
Compound—causes—Lacrimation increased	12	0.00033542
Compound—causes—Polycythaemia	4	0.00033398
Compound—causes—Skin necrosis	6	0.00033309
Compound—causes—Parkinsonism	6	0.00033176
Compound—causes—Renal tubular acidosis	2	0.00033075
Compound—causes—Anhidrosis	2	0.00033075
Compound—causes—Cataract	12	0.00032973
Compound—causes—Urethritis	3	0.00032964
Compound—causes—Blood thyroid stimulating hormone increased	1	0.00032928
Compound—causes—Eye redness	4	0.00032757
Compound—resembles—Furosemide	3	0.00032584
Compound—causes—Opisthotonus	1	0.00032551
Compound—causes—Pigmentation disorder	4	0.00032292
Compound—causes—Blindness	8	0.0003224
Compound—causes—Tenderness	9	0.00032209
Compound—causes—Heartburn	4	0.00032047
Compound—causes—Phobia	1	0.00032017
Compound—causes—Labyrinthine disorder	1	0.00031847
Compound—causes—Inner ear disorder	1	0.00031847
Compound—causes—Blepharitis	8	0.00030735
Compound—causes—Elevated mood	2	0.0003073
Compound—causes—Musculoskeletal disorder	2	0.00030689
Compound—causes—Infertility male	2	0.00030658
Compound—causes—Hair disorder	4	0.00030138
Compound—causes—Taste metallic	2	0.00029867
Compound—causes—Embolism venous	2	0.00029729
Compound—causes—Hyperpathia	2	0.0002969
Compound—causes—Throat tightness	3	0.00029437
Compound—causes—Haemolytic uraemic syndrome	1	0.00029412
Compound—causes—Strangury	2	0.00029296
Compound—causes—Blood pressure increased	10	0.00029238
Compound—causes—Presyncope	4	0.00029174
Compound—causes—Smear cervix abnormal	1	0.00029118
Compound—causes—Malignant melanoma	1	0.00028926
Compound—causes—Visual acuity reduced	6	0.00028923
Compound—causes—Autonomic nervous system imbalance	2	0.00028748
Compound—causes—Multi-organ failure	3	0.00028706
Compound—causes—Duodenitis	2	0.00028664
Compound—causes—Pupils unequal	1	0.00028645
Compound—causes—Scleritis	2	0.00028479
Compound—causes—Mental status changes	2	0.00028406
Compound—resembles—Bupivacaine	3	0.00028364
Compound—causes—Low back pain	2	0.00028282
Compound—causes—Brain injury	2	0.00028282
Compound—causes—Teratogenicity	2	0.00028154
Compound—causes—Glossodynia	4	0.00027921
Compound—causes—Lacrimation abnormal NOS	3	0.00027763
Compound—causes—Pleural effusion	9	0.00027697
Compound—causes—Oropharyngeal pain	3	0.00027659
Compound—causes—Angle closure glaucoma	3	0.00027574
Compound—resembles—Asenapine	10	0.00027552
Compound—causes—Hypersensitive syndrome	2	0.00027465
Compound—resembles—Chlorphenesin	2	0.00027449
Compound—causes—Lower respiratory tract infection	2	0.00027365
Compound—causes—Lung disorder	8	0.00027343
Compound—causes—Peripheral coldness	4	0.00027298
Compound—causes—Hepatocellular carcinoma	1	0.00027181
Compound—causes—Coronary artery disease	4	0.00027
Compound—causes—Alkalosis	2	0.00026963
Compound—causes—Depression aggravated	3	0.00026791
Compound—causes—Respiratory tract congestion	3	0.00026705
Compound—causes—Vivid dreams	1	0.00026658
Compound—causes—Acute psychosis	1	0.00026533
Compound—resembles—Orphenadrine	12	0.00026292
Compound—causes—Breast feeding	6	0.00026283
Compound—causes—VIIth nerve paralysis	6	0.00026266
Compound—causes—Local reaction	4	0.00025991
Compound—causes—Skin carcinoma	4	0.00025904
Compound—resembles—Quetiapine	27	0.0002589
Compound—causes—Kidney function abnormal	4	0.00025442
Compound—resembles—Levobupivacaine	1	0.00025348
Compound—causes—Platelet disorder	1	0.00025034
Compound—causes—Joint sprain	1	0.00024972
Compound—causes—Laceration	1	0.00024909
Compound—causes—Dysaesthesia	6	0.00024884
Compound—causes—Foetor hepaticus	2	0.00024853
Compound—causes—Hepatic cancer	1	0.00024737
Compound—resembles—Methyclothiazide	1	0.00024671
Compound—causes—Prostatic disorder	6	0.00024344
Compound—causes—Drug dependence	2	0.00024217
Compound—causes—Psychomotor retardation	2	0.00024141
Compound—causes—Retinal vein thrombosis	2	0.00024002
Compound—causes—Schizophrenic reaction	1	0.00023962
Compound—causes—Schizophreniform disorder	1	0.00023962
Compound—causes—Gastritis haemorrhagic	1	0.00023929
Compound—causes—Cheilitis	6	0.00023877
Compound—causes—Injection site swelling	2	0.00023835
Compound—resembles—Chlorothiazide	1	0.00023748
Compound—causes—Tendonitis	4	0.00023675
Compound—causes—Carcinoma	2	0.00023619
Compound—causes—Alkaline phosphatase serum increased	1	0.00023572
Compound—causes—Sneezing	4	0.00023508
Compound—causes—Torticollis	2	0.00023411
Compound—causes—Speech impairment NOS	2	0.00023372
Compound—causes—Cold sweat	3	0.00023371
Compound—causes—Hepatitis cholestatic	4	0.00023312
Compound—resembles—Pyrimethamine	1	0.0002326
Compound—causes—Thyroid neoplasm	1	0.00023016
Compound—causes—Hallucination, auditory	1	0.00022972
Compound—causes—Uterine haemorrhage	3	0.00022953
Compound—causes—NPN increased	1	0.00022862
Compound—causes—Pharyngeal oedema	4	0.00022821
Compound—causes—Balanitis	2	0.00022683
Compound—causes—Antinuclear antibody positive	1	0.00022585
Compound—causes—Lichenoid keratosis	2	0.00022398
Compound—causes—Trembling	2	0.00022241
Compound—causes—Folliculitis	2	0.00022149
Compound—causes—Megacolon	1	0.0002213
Compound—causes—Swelling face	4	0.00022062
Compound—causes—Prothrombin level increased	6	0.00022058
Compound—causes—Thyroid disorder	1	0.0002205
Compound—causes—Oral candidiasis	6	0.00021692
Compound—causes—Gastrointestinal tract irritation	2	0.00021688
Compound—causes—Red blood cell sedimentation rate increased	2	0.00021593
Compound—causes—Oesophageal spasm	1	0.00021561
Compound—causes—Enzyme abnormality	1	0.00021504
Compound—causes—Fungal skin infection	6	0.00021403
Compound—causes—Skin exfoliation	9	0.00021337
Compound—causes—Henoch-Schonlein purpura	2	0.000212
Compound—causes—Conjunctival haemorrhage	2	0.0002115
Compound—causes—Salivary gland enlargement	4	0.00020989
Compound—causes—Hypovolaemia	2	0.00020962
Compound—causes—Eyelid oedema	4	0.00020815
Compound—causes—Exophthalmos	2	0.00020768
Compound—causes—Endophthalmitis	3	0.00020765
Compound—causes—Function kidney decreased	2	0.00020701
Compound—causes—Liver disorder	2	0.00020689
Compound—causes—Nasal dryness	1	0.00020506
Compound—resembles—Pseudoephedrine	4	0.0002044
Compound—causes—Peripheral ischaemia	2	0.00020269
Compound—causes—Rash papular	1	0.00020267
Compound—causes—Chorea	2	0.00020248
Compound—causes—Rash macular	2	0.00020224
Compound—causes—Impaired gastric emptying	2	0.00020129
Compound—causes—Ejaculation delayed	2	0.00019897
Compound—causes—Neoplasm malignant	4	0.00019836
Compound—causes—Ichthyosis	1	0.0001957
Compound—causes—Ichthyosis acquired	1	0.0001957
Compound—causes—Leg pain	4	0.00019527
Compound—causes—Acute generalised exanthematous pustulosis	2	0.00019018
Compound—causes—Pulmonary fibrosis	2	0.00018969
Compound—causes—Skin cancer	4	0.00018969
Compound—causes—Cachexia	2	0.00018935
Compound—resembles—Azelastine	12	0.00018864
Compound—causes—Toxicity to various agents	2	0.00018704
Compound—resembles—Triflupromazine	12	0.00018426
Compound—causes—Abdominal pain lower	1	0.00018316
Compound—resembles—Benzthiazide	1	0.00018148
Compound—causes—Lip swelling	1	0.00018103
Compound—causes—Decubitus ulcer	1	0.00017988
Compound—causes—Corneal lesion	1	0.00017988
Compound—causes—Polyp	2	0.00017829
Compound—causes—Sinus tachycardia	3	0.00017433
Compound—resembles—Trichlormethiazide	1	0.00017382
Compound—causes—Auditory disorder NOS	2	0.00017371
Compound—causes—Intestinal ulcer	2	0.00017353
Compound—causes—Administration site reaction	2	0.00017247
Compound—causes—Penis disorder	2	0.00017052
Compound—binds—SIGMAR1	6	0.00016809
Compound—causes—Hypertrichosis	4	0.00016757
Compound—causes—Pruritus genital	4	0.00016701
Compound—causes—Local swelling	4	0.00016674
Compound—causes—Parkinson's disease	1	0.00016557
Compound—causes—Arteriosclerosis	1	0.00016529
Compound—resembles—Metixene	3	0.00016504
Compound—causes—Rheumatoid arthritis	1	0.00016439
Compound—causes—Atrioventricular block second degree	1	0.00016378
Compound—causes—Platelet count decreased	4	0.00016266
Compound—causes—Cyst	2	0.00016225
Compound—resembles—Aminophenazone	4	0.00016083
Compound—causes—Pulmonary haemorrhage	1	0.00016074
Compound—causes—Abrasion NOS	1	0.00016017
Compound—causes—Biliary colic	2	0.00015962
Compound—causes—Ascites	2	0.00015888
Compound—causes—Muscle atrophy	2	0.00015801
Compound—causes—Uremia	1	0.00015787
Compound—causes—Hypogeusia	1	0.00015627
Compound—causes—Periodontitis	1	0.00015547
Compound—causes—Irritable bowel syndrome	2	0.00015495
Compound—causes—Skin hypertrophy	4	0.00015326
Compound—causes—Unintended pregnancy	2	0.00015254
Compound—causes—Red blood cell abnormality	1	0.0001522
Compound—causes—Respiratory alkalosis	1	0.00015098
Compound—causes—Eye swelling	2	0.00015061
Compound—resembles—Aminoglutethimide	2	0.00015038
Compound—resembles—Lucanthone	1	0.00014904
Compound—causes—Lymphopenia	2	0.00014783
Compound—causes—Functional gastrointestinal disorder	2	0.00014453
Compound—causes—Hypertrophy of breast	1	0.00014415
Compound—resembles—Guanfacine	2	0.00014221
Compound—causes—Splenomegaly	2	0.0001404
Compound—resembles—Cinnarizine	4	0.00013839
Compound—causes—Cushing's syndrome	1	0.00013831
Compound—causes—Proctitis	1	0.00013592
Compound—causes—Tetany	1	0.00013579
Compound—causes—Embolism	4	0.0001354
Compound—causes—Leukaemia	1	0.00013487
Compound—causes—Miliaria	2	0.0001326
Compound—causes—Prothrombin level decreased	2	0.00013133
Compound—causes—Thromboembolism	1	0.00012985
Compound—causes—Benign neoplasm of skin	1	0.00012963
Compound—causes—Hypohidrosis	2	0.0001276
Compound—causes—Sweating decreased	2	0.0001276
Compound—causes—Seasonal allergy	1	0.00012723
Compound—causes—Premature ejaculation	1	0.00012692
Compound—causes—Lacrimal structural disorder	2	0.00012668
Compound—causes—Instillation site pain	1	0.00012649
Compound—causes—Mucous membrane disorder	2	0.00012546
Compound—causes—Hemiparesis	1	0.0001251
Compound—causes—Epigastric pain	1	0.00012451
Compound—resembles—Ziprasidone	8	0.00012358
Compound—causes—Vasospasm	2	0.00012262
Compound—causes—Rhinitis seasonal	1	0.00012212
Compound—resembles—Tranylcypromine	6	0.00012195
Compound—causes—Pulmonary hypertension	2	0.00012139
Compound—causes—Peripheral vascular disorder	4	0.00011991
Compound—causes—Retrosternal pain	2	0.00011949
Compound—causes—Urine color abnormal	1	0.00011696
Compound—causes—Dry throat	2	0.00011632
Compound—causes—Cardio-respiratory arrest	1	0.00011489
Compound—resembles—Atomoxetine	12	0.0001145
Compound—causes—Inflammation	4	0.00011416
Compound—causes—Salpingitis	1	0.00011341
Compound—causes—Hypoproteinaemia	2	0.00011182
Compound—causes—IIIrd nerve paralysis	1	0.00011157
Compound—resembles—Zuclopenthixol	9	0.00011138
Compound—causes—Bacterial infection	2	0.00011095
Compound—resembles—Carvedilol	4	0.00011038
Compound—causes—Retinal detachment	1	0.00010984
Compound—causes—Corneal opacity	1	0.00010984
Compound—causes—Deep vein thrombosis	3	0.00010951
Compound—causes—Cerebral ischaemia	2	0.000109
Compound—causes—Herpes NOS	1	0.00010789
Compound—causes—Burning sensation	4	0.00010704
Compound—resembles—Methotrimeprazine	12	0.00010649
Compound—causes—Ear discomfort	1	0.00010602
Compound—causes—Throat sore	1	0.00010458
Compound—causes—Polyneuropathy	1	0.00010443
Compound—causes—Dysphasia	1	0.00010419
Compound—resembles—Dimetindene	4	0.00010397
Compound—causes—Oropharyngeal discomfort	1	0.00010365
Compound—resembles—Tolazoline	2	0.00010233
Compound—causes—Congenital eye disorder	1	0.0001013
Compound—causes—Crying	1	0.0001013
Compound—causes—Pericardial effusion	2	0.00010107
Compound—causes—Testicular disorder	1	0.00010033
Compound—causes—Neurotoxicity	1	9.8317e-05
Compound—resembles—Desloratadine	3	9.7627e-05
Compound—causes—Tendon disorder	2	9.6463e-05
Compound—causes—Keratoconjunctivitis	1	9.6054e-05
Compound—causes—Fibrocystic breast disease	1	9.6054e-05
Compound—resembles—Diclofenac	7	9.5993e-05
Compound—resembles—Thiothixene	12	9.5914e-05
Compound—causes—Enterocolitis	1	9.5572e-05
Compound—causes—Papule	1	9.4739e-05
Compound—resembles—Fenoprofen	4	9.43e-05
Compound—causes—Application site pain	1	9.3726e-05
Compound—causes—Oral pain	2	9.208e-05
Compound—causes—Breast discharge	2	9.0646e-05
Compound—resembles—Trazodone	10	9.0484e-05
Compound—causes—Hallucination, visual	2	9.0074e-05
Compound—causes—Abdominal tenderness	1	9.0046e-05
Compound—causes—Venous thrombosis	1	8.8364e-05
Compound—causes—Retinal haemorrhage	1	8.7963e-05
Compound—causes—Excoriation	1	8.7051e-05
Compound—resembles—Isopropamide	2	8.4021e-05
Compound—causes—Pulmonary congestion	1	8.2949e-05
Compound—resembles—Benzyl alcohol	3	8.2162e-05
Compound—causes—Erythema nodosum	2	8.1707e-05
Compound—resembles—Ephedrine	1	8.117e-05
Compound—resembles—Benzatropine	4	7.9688e-05
Compound—causes—Aphthous stomatitis	2	7.9398e-05
Compound—causes—Sluggishness	1	7.9381e-05
Compound—causes—Faecaloma	1	7.8935e-05
Compound—causes—Faecalith	1	7.8935e-05
Compound—causes—Oesophageal ulcer	1	7.8575e-05
Compound—causes—Flank pain	2	7.7411e-05
Compound—causes—Bleeding time prolonged	2	7.6913e-05
Compound—causes—Chloasma	1	7.6761e-05
Compound—causes—Autonomic neuropathy	1	7.6654e-05
Compound—causes—Herpes virus infection	1	7.4518e-05
Compound—causes—Lung infiltration	1	7.2585e-05
Compound—causes—Peripheral sensory neuropathy	1	7.2381e-05
Compound—causes—Blood glucose increased	1	7.0726e-05
Compound—resembles—Mequitazine	4	7.0212e-05
Compound—resembles—Selegiline	3	6.9813e-05
Compound—causes—Amylase increased	2	6.9026e-05
Compound—causes—Breast cancer	2	6.9006e-05
Compound—causes—Joint stiffness	1	6.8494e-05
Compound—resembles—Cyamemazine	4	6.8004e-05
Compound—causes—Hoarseness	2	6.5516e-05
Compound—resembles—Doxylamine	2	6.5221e-05
Compound—causes—Viral diarrhoea	1	6.4888e-05
Compound—causes—Pruritus generalised	2	6.4793e-05
Compound—resembles—Acenocoumarol	4	6.2638e-05
Compound—causes—Laryngeal oedema	1	5.9383e-05
Compound—causes—Blood potassium decreased	2	5.8222e-05
Compound—causes—Dyspnoea exertional	1	5.7625e-05
Compound—causes—Trauma	1	5.6788e-05
Compound—causes—Blepharospasm	1	5.6504e-05
Compound—resembles—Dextropropoxyphene	3	5.6281e-05
Compound—resembles—Trifluoperazine	9	5.6253e-05
Compound—resembles—Methadyl Acetate	1	5.5531e-05
Compound—causes—Nodule	1	5.4733e-05
Compound—resembles—Pipotiazine	8	5.3694e-05
Compound—resembles—Dimenhydrinate	1	5.3587e-05
Compound—resembles—Fentanyl	3	5.338e-05
Compound—causes—Impaired healing	1	5.2157e-05
Compound—resembles—Phenylpropanolamine	1	5.1551e-05
Compound—resembles—Bortezomib	2	5.0812e-05
Compound—resembles—Methadone	5	4.9495e-05
Compound—causes—Interstitial lung disease	1	4.7834e-05
Compound—causes—Pericarditis	1	4.7827e-05
Compound—resembles—Propiomazine	4	4.7545e-05
Compound—resembles—Thioridazine	6	4.665e-05
Compound—resembles—Ketoprofen	3	4.3513e-05
Compound—resembles—Acepromazine	6	4.244e-05
Compound—resembles—Propranolol	3	4.0405e-05
Compound—resembles—Aprindine	3	3.9192e-05
Compound—causes—Feeling hot	1	3.6888e-05
Compound—causes—Myositis	1	3.5189e-05
Compound—resembles—Perphenazine	5	3.3136e-05
Compound—resembles—Chloroquine	3	2.4926e-05
Compound—resembles—Levomethadyl Acetate	1	2.4171e-05
Compound—resembles—Thioproperazine	4	2.3987e-05
Compound—resembles—Tripelennamine	2	2.3178e-05
Compound—resembles—Propericiazine	1	1.9564e-05
Compound—resembles—Piroxicam	2	1.9326e-05
Compound—resembles—Carbinoxamine	2	1.884e-05
Compound—causes—Musculoskeletal pain	1	1.7614e-05
Compound—resembles—Bifonazole	1	1.6792e-05
Compound—resembles—Chlorphenamine	2	1.6524e-05
Compound—resembles—Phenoxybenzamine	1	1.2643e-05
Compound—resembles—Amodiaquine	1	9.9014e-06
Compound—resembles—Fenbufen	1	7.6884e-06
Compound—resembles—Quinacrine	1	5.7637e-06
