source_edge	paths	contribution
Compound—causes—Myocardial ischaemia	9	0.000482
Compound—causes—Gastrooesophageal reflux disease	18	0.0004796
Compound—causes—Blood in stool	2	0.000479
Compound—causes—Infectious mononucleosis	2	0.000479
Compound—causes—Hemianopia	2	0.000478
Compound—causes—Hypovitaminosis	1	0.000473
Compound—causes—Diabetic peripheral neuropathy	2	0.000472
Compound—causes—Haematoma	12	0.0004719
Compound—causes—Cryptococcosis	2	0.00047
Compound—causes—Herpes simplex	18	0.0004697
Compound—causes—Rectal disorder	9	0.0004663
Compound—causes—Creatine phosphokinase increased	4	0.000463
Compound—causes—Peptic ulcer	16	0.0004611
Compound—causes—Pleurisy	4	0.0004582
Compound—causes—Expressive language disorder	1	0.000458
Compound—causes—Prolonged menses	2	0.000456
Compound—causes—Eye haemorrhage	6	0.0004549
Compound—causes—Clonic convulsion	2	0.000454
Compound—causes—Coronary artery insufficiency	1	0.000451
Compound—causes—Neonatal disorder	1	0.00045
Compound—causes—Laboratory test abnormal	6	0.0004499
Compound—resembles—Olanzapine	30	0.00044662
Compound—resembles—Chlorpropamide	3	0.0004408
Compound—causes—Anorectal disorder	9	0.0004351
Compound—resembles—Hydrochlorothiazide	2	0.000435
Compound—causes—Drug effect increased	1	0.000427
Compound—causes—Cardiovascular disorder	20	0.00042519
Compound—causes—Influenza-like symptoms	12	0.0004247
Compound—causes—Cardiac output decreased	1	0.000422
Compound—causes—Capillary fragility increased	2	0.000418
Compound—causes—Cognitive impairment	6	0.0004155
Compound—causes—Sensory disturbance	5	0.0004154
Compound—causes—Chest tightness	4	0.0004118
Compound—causes—Gastrointestinal inflammation	1	0.000411
Compound—resembles—Maprotiline	21	0.00040858
Compound—causes—Urination impaired	2	0.000408
Compound—causes—Hyperuricaemia	7	0.0004063
Compound—causes—Purpuric rash	2	0.000405
Compound—causes—Lymphoedema	2	0.0004014
Compound—causes—Oedema genital	2	0.0004
Compound—causes—Enlargement abdomen	9	0.0003998
Compound—causes—Extravasation	7	0.0003995
Compound—causes—Conjunctival hyperaemia	3	0.0003964
Compound—causes—Vascular anomaly	2	0.000394
Compound—causes—Thyrotropin high	1	0.000393
Compound—causes—Keratitis	8	0.0003919
Compound—causes—Attention concentration difficulty	1	0.000391
Compound—resembles—Metolazone	2	0.000389
Compound—causes—Cardiomyopathy	5	0.000385
Compound—causes—Haematochezia	6	0.0003842
Compound—causes—Bullous eruption	3	0.000384
Compound—causes—Hypochloraemia	2	0.00038
Compound—causes—Optic neuritis	5	0.0003784
Compound—causes—Road traffic accident	4	0.000375
Compound—causes—Hepatic encephalopathy	1	0.000374
Compound—causes—Retinal disorder	7	0.0003703
Compound—causes—Ocular hyperaemia	6	0.0003697
Compound—causes—Generalised spasm	2	0.000369
Compound—causes—Dysgraphia	2	0.000368
Compound—causes—Pain in jaw	3	0.000365
Compound—causes—Stinging	1	0.000365
Compound—causes—Retinitis	1	0.000363
Compound—causes—Ventricular arrhythmia	6	0.0003627
Compound—causes—Polyarteritis nodosa	1	0.000361
Compound—causes—Crystalluria	1	0.00036
Compound—causes—Photopsia	6	0.0003594
Compound—causes—Appetite disorder	1	0.000357
Compound—resembles—Olopatadine	4	0.0003535
Compound—causes—Lichen planus	1	0.000352
Compound—causes—Dental caries	5	0.0003488
Compound—causes—Skin burning sensation	1	0.000348
Compound—causes—Hypercalcaemia	4	0.0003476
Compound—causes—Dementia	6	0.0003472
Compound—causes—Anuria	4	0.0003443
Compound—causes—Aortic valve stenosis	1	0.000344
Compound—causes—Hypercholesterolaemia	14	0.0003424
Compound—causes—Urethritis noninfective	3	0.0003424
Compound—causes—Respiratory tract infection	10	0.0003404
Compound—causes—Ulcerative keratitis	2	0.000339
Compound—causes—Facial paralysis	6	0.0003389
Compound—causes—Dysphemia	2	0.000338
Compound—causes—Thrombocytosis	8	0.0003378
Compound—causes—Obesity	4	0.0003374
Compound—causes—Hyperammonaemia	2	0.000336
Compound—causes—Lacrimation increased	12	0.00033543
Compound—causes—Polycythaemia	4	0.0003334
Compound—causes—Skin necrosis	6	0.0003332
Compound—causes—Parkinsonism	6	0.0003318
Compound—causes—Anhidrosis	2	0.000331
Compound—causes—Renal tubular acidosis	2	0.000331
Compound—causes—Urethritis	3	0.0003298
Compound—causes—Cataract	12	0.0003297
Compound—causes—Blood thyroid stimulating hormone increased	1	0.000329
Compound—causes—Eye redness	4	0.0003275
Compound—resembles—Furosemide	3	0.0003255
Compound—causes—Opisthotonus	1	0.000325
Compound—causes—Pigmentation disorder	4	0.0003233
Compound—causes—Blindness	8	0.0003225
Compound—causes—Tenderness	9	0.000322
Compound—causes—Heartburn	4	0.0003205
Compound—causes—Phobia	1	0.00032
Compound—causes—Labyrinthine disorder	1	0.000318
Compound—causes—Inner ear disorder	1	0.000318
Compound—causes—Blepharitis	8	0.0003073
Compound—causes—Musculoskeletal disorder	2	0.000307
Compound—causes—Elevated mood	2	0.000307
Compound—causes—Infertility male	2	0.000306
Compound—causes—Hair disorder	4	0.0003013
Compound—causes—Taste metallic	2	0.000299
Compound—causes—Hyperpathia	2	0.000297
Compound—causes—Embolism venous	2	0.0002968
Compound—causes—Throat tightness	3	0.000294
Compound—causes—Haemolytic uraemic syndrome	1	0.000294
Compound—causes—Strangury	2	0.0002933
Compound—causes—Blood pressure increased	10	0.0002925
Compound—causes—Presyncope	4	0.0002917
Compound—causes—Smear cervix abnormal	1	0.000291
Compound—causes—Visual acuity reduced	6	0.0002893
Compound—causes—Malignant melanoma	1	0.000289
Compound—causes—Multi-organ failure	3	0.0002871
Compound—causes—Autonomic nervous system imbalance	2	0.000287
Compound—causes—Duodenitis	2	0.0002865
Compound—causes—Pupils unequal	1	0.000286
Compound—causes—Scleritis	2	0.000285
Compound—causes—Mental status changes	2	0.000284
Compound—resembles—Bupivacaine	3	0.000284
Compound—causes—Low back pain	2	0.000283
Compound—causes—Brain injury	2	0.000283
Compound—causes—Teratogenicity	2	0.000282
Compound—causes—Glossodynia	4	0.0002793
Compound—causes—Lacrimation abnormal NOS	3	0.0002785
Compound—causes—Pleural effusion	9	0.0002771
Compound—causes—Oropharyngeal pain	3	0.0002765
Compound—resembles—Asenapine	10	0.0002755
Compound—causes—Angle closure glaucoma	3	0.0002754
Compound—causes—Hypersensitive syndrome	2	0.000275
Compound—resembles—Chlorphenesin	2	0.0002746
Compound—causes—Lower respiratory tract infection	2	0.000274
Compound—causes—Lung disorder	8	0.0002735
Compound—causes—Peripheral coldness	4	0.0002731
Compound—causes—Hepatocellular carcinoma	1	0.000272
Compound—causes—Coronary artery disease	4	0.0002695
Compound—causes—Alkalosis	2	0.000269
Compound—causes—Depression aggravated	3	0.000268
Compound—causes—Vivid dreams	1	0.000267
Compound—causes—Respiratory tract congestion	3	0.0002666
Compound—causes—Acute psychosis	1	0.000265
Compound—resembles—Orphenadrine	12	0.000263
Compound—causes—Breast feeding	6	0.0002627
Compound—causes—VIIth nerve paralysis	6	0.0002626
Compound—causes—Local reaction	4	0.0002599
Compound—causes—Skin carcinoma	4	0.0002591
Compound—resembles—Quetiapine	27	0.00025883
Compound—causes—Kidney function abnormal	4	0.0002544
Compound—resembles—Levobupivacaine	1	0.000253
Compound—causes—Platelet disorder	1	0.00025
Compound—causes—Joint sprain	1	0.00025
Compound—causes—Laceration	1	0.000249
Compound—causes—Dysaesthesia	6	0.0002488
Compound—causes—Foetor hepaticus	2	0.0002484
Compound—causes—Hepatic cancer	1	0.000247
Compound—resembles—Methyclothiazide	1	0.000247
Compound—causes—Prostatic disorder	6	0.0002434
Compound—causes—Drug dependence	2	0.000242
Compound—causes—Psychomotor retardation	2	0.0002416
Compound—causes—Retinal vein thrombosis	2	0.0002405
Compound—causes—Schizophrenic reaction	1	0.00024
Compound—causes—Schizophreniform disorder	1	0.00024
Compound—causes—Gastritis haemorrhagic	1	0.000239
Compound—causes—Cheilitis	6	0.0002388
Compound—causes—Injection site swelling	2	0.000238
Compound—resembles—Chlorothiazide	1	0.000238
Compound—causes—Tendonitis	4	0.0002364
Compound—causes—Alkaline phosphatase serum increased	1	0.000236
Compound—causes—Carcinoma	2	0.000236
Compound—causes—Sneezing	4	0.0002351
Compound—causes—Torticollis	2	0.0002344
Compound—causes—Speech impairment NOS	2	0.0002336
Compound—causes—Cold sweat	3	0.0002335
Compound—resembles—Pyrimethamine	1	0.000233
Compound—causes—Hepatitis cholestatic	4	0.0002325
Compound—causes—Hallucination, auditory	1	0.00023
Compound—causes—Thyroid neoplasm	1	0.00023
Compound—causes—Uterine haemorrhage	3	0.0002296
Compound—causes—NPN increased	1	0.000229
Compound—causes—Pharyngeal oedema	4	0.0002282
Compound—causes—Balanitis	2	0.0002267
Compound—causes—Antinuclear antibody positive	1	0.000226
Compound—causes—Lichenoid keratosis	2	0.000224
Compound—causes—Trembling	2	0.000223
Compound—causes—Folliculitis	2	0.0002212
Compound—causes—Thyroid disorder	1	0.000221
Compound—causes—Megacolon	1	0.000221
Compound—causes—Swelling face	4	0.0002206
Compound—causes—Prothrombin level increased	6	0.0002205
Compound—causes—Gastrointestinal tract irritation	2	0.0002173
Compound—causes—Oral candidiasis	6	0.000217
Compound—causes—Oesophageal spasm	1	0.000216
Compound—causes—Red blood cell sedimentation rate increased	2	0.000215
Compound—causes—Enzyme abnormality	1	0.000215
Compound—causes—Fungal skin infection	6	0.0002141
Compound—causes—Skin exfoliation	9	0.00021347
Compound—causes—Henoch-Schonlein purpura	2	0.0002118
Compound—causes—Conjunctival haemorrhage	2	0.0002115
Compound—causes—Salivary gland enlargement	4	0.0002099
Compound—causes—Hypovolaemia	2	0.0002095
Compound—causes—Eyelid oedema	4	0.0002081
Compound—causes—Exophthalmos	2	0.000208
Compound—causes—Endophthalmitis	3	0.0002076
Compound—causes—Function kidney decreased	2	0.0002075
Compound—causes—Liver disorder	2	0.0002064
Compound—causes—Nasal dryness	1	0.000205
Compound—resembles—Pseudoephedrine	4	0.0002043
Compound—causes—Rash papular	1	0.000203
Compound—causes—Chorea	2	0.0002027
Compound—causes—Rash macular	2	0.0002023
Compound—causes—Peripheral ischaemia	2	0.0002022
Compound—causes—Impaired gastric emptying	2	0.000201
Compound—causes—Ejaculation delayed	2	0.0001989
Compound—causes—Neoplasm malignant	4	0.0001983
Compound—causes—Ichthyosis acquired	1	0.000196
Compound—causes—Ichthyosis	1	0.000196
Compound—causes—Leg pain	4	0.0001953
Compound—causes—Acute generalised exanthematous pustulosis	2	0.0001902
Compound—causes—Skin cancer	4	0.0001897
Compound—causes—Pulmonary fibrosis	2	0.0001893
Compound—causes—Cachexia	2	0.0001891
Compound—resembles—Azelastine	12	0.00018862
Compound—causes—Toxicity to various agents	2	0.0001874
Compound—resembles—Triflupromazine	12	0.00018428
Compound—causes—Abdominal pain lower	1	0.000183
Compound—resembles—Benzthiazide	1	0.000182
Compound—causes—Lip swelling	1	0.000181
Compound—causes—Corneal lesion	1	0.00018
Compound—causes—Decubitus ulcer	1	0.00018
Compound—causes—Polyp	2	0.000178
Compound—causes—Sinus tachycardia	3	0.0001743
Compound—resembles—Trichlormethiazide	1	0.000174
Compound—causes—Auditory disorder NOS	2	0.0001738
Compound—causes—Intestinal ulcer	2	0.0001731
Compound—causes—Administration site reaction	2	0.0001725
Compound—causes—Penis disorder	2	0.0001702
Compound—binds—SIGMAR1	6	0.0001682
Compound—causes—Hypertrichosis	4	0.0001675
Compound—causes—Pruritus genital	4	0.000167
Compound—causes—Local swelling	4	0.0001668
Compound—causes—Parkinson's disease	1	0.000166
Compound—causes—Arteriosclerosis	1	0.000165
Compound—resembles—Metixene	3	0.0001649
Compound—causes—Atrioventricular block second degree	1	0.000164
Compound—causes—Rheumatoid arthritis	1	0.000164
Compound—causes—Platelet count decreased	4	0.0001626
Compound—causes—Cyst	2	0.0001623
Compound—causes—Pulmonary haemorrhage	1	0.000161
Compound—resembles—Aminophenazone	4	0.0001608
Compound—causes—Abrasion NOS	1	0.00016
Compound—causes—Biliary colic	2	0.00016
Compound—causes—Ascites	2	0.0001586
Compound—causes—Muscle atrophy	2	0.0001581
Compound—causes—Uremia	1	0.000158
Compound—causes—Hypogeusia	1	0.000156
Compound—causes—Periodontitis	1	0.000155
Compound—causes—Irritable bowel syndrome	2	0.0001549
Compound—causes—Skin hypertrophy	4	0.0001533
Compound—causes—Unintended pregnancy	2	0.0001526
Compound—causes—Red blood cell abnormality	1	0.000152
Compound—causes—Respiratory alkalosis	1	0.000151
Compound—resembles—Aminoglutethimide	2	0.0001506
Compound—causes—Eye swelling	2	0.0001506
Compound—resembles—Lucanthone	1	0.000149
Compound—causes—Lymphopenia	2	0.000148
Compound—causes—Functional gastrointestinal disorder	2	0.0001445
Compound—causes—Hypertrophy of breast	1	0.000144
Compound—resembles—Guanfacine	2	0.0001423
Compound—causes—Splenomegaly	2	0.0001404
Compound—resembles—Cinnarizine	4	0.00013831
Compound—causes—Cushing's syndrome	1	0.000138
Compound—causes—Proctitis	1	0.000136
Compound—causes—Tetany	1	0.000136
Compound—causes—Embolism	4	0.0001354
Compound—causes—Leukaemia	1	0.000135
Compound—causes—Miliaria	2	0.0001326
Compound—causes—Prothrombin level decreased	2	0.0001314
Compound—causes—Thromboembolism	1	0.00013
Compound—causes—Benign neoplasm of skin	1	0.00013
Compound—causes—Hypohidrosis	2	0.0001276
Compound—causes—Sweating decreased	2	0.0001276
Compound—causes—Seasonal allergy	1	0.000127
Compound—causes—Premature ejaculation	1	0.000127
Compound—causes—Lacrimal structural disorder	2	0.0001267
Compound—causes—Instillation site pain	1	0.000126
Compound—causes—Mucous membrane disorder	2	0.0001254
Compound—causes—Epigastric pain	1	0.000125
Compound—causes—Hemiparesis	1	0.000125
Compound—resembles—Ziprasidone	8	0.00012362
Compound—causes—Vasospasm	2	0.0001226
Compound—causes—Rhinitis seasonal	1	0.000122
Compound—resembles—Tranylcypromine	6	0.00012197
Compound—causes—Pulmonary hypertension	2	0.0001213
Compound—causes—Peripheral vascular disorder	4	0.0001199
Compound—causes—Retrosternal pain	2	0.0001195
Compound—causes—Urine color abnormal	1	0.000117
Compound—causes—Dry throat	2	0.0001163
Compound—causes—Cardio-respiratory arrest	1	0.000115
Compound—resembles—Atomoxetine	12	0.00011445
Compound—causes—Inflammation	4	0.0001142
Compound—causes—Salpingitis	1	0.000113
Compound—causes—IIIrd nerve paralysis	1	0.000112
Compound—causes—Hypoproteinaemia	2	0.0001118
Compound—resembles—Zuclopenthixol	9	0.0001114
Compound—causes—Bacterial infection	2	0.000111
Compound—resembles—Carvedilol	4	0.0001104
Compound—causes—Corneal opacity	1	0.00011
Compound—causes—Retinal detachment	1	0.00011
Compound—causes—Deep vein thrombosis	3	0.0001094
Compound—causes—Cerebral ischaemia	2	0.000109
Compound—causes—Herpes NOS	1	0.000108
Compound—causes—Burning sensation	4	0.000107
Compound—resembles—Methotrimeprazine	12	0.0001064
Compound—causes—Ear discomfort	1	0.000106
Compound—causes—Throat sore	1	0.000105
Compound—causes—Oropharyngeal discomfort	1	0.000104
Compound—causes—Polyneuropathy	1	0.000104
Compound—resembles—Dimetindene	4	0.000104
Compound—causes—Dysphasia	1	0.000104
Compound—resembles—Tolazoline	2	0.0001024
Compound—causes—Pericardial effusion	2	0.0001011
Compound—causes—Congenital eye disorder	1	0.000101
Compound—causes—Crying	1	0.000101
Compound—causes—Testicular disorder	1	0.0001
Compound—causes—Neurotoxicity	1	9.83e-05
Compound—resembles—Desloratadine	3	9.77e-05
Compound—causes—Tendon disorder	2	9.65e-05
Compound—resembles—Diclofenac	7	9.602e-05
Compound—resembles—Thiothixene	12	9.601e-05
Compound—causes—Keratoconjunctivitis	1	9.6e-05
Compound—causes—Fibrocystic breast disease	1	9.6e-05
Compound—causes—Enterocolitis	1	9.56e-05
Compound—causes—Papule	1	9.47e-05
Compound—resembles—Fenoprofen	4	9.427e-05
Compound—causes—Application site pain	1	9.37e-05
Compound—causes—Oral pain	2	9.21e-05
Compound—causes—Breast discharge	2	9.06e-05
Compound—resembles—Trazodone	10	9.052e-05
Compound—causes—Hallucination, visual	2	9.01e-05
Compound—causes—Abdominal tenderness	1	9e-05
Compound—causes—Venous thrombosis	1	8.83e-05
Compound—causes—Retinal haemorrhage	1	8.79e-05
Compound—causes—Excoriation	1	8.7e-05
Compound—resembles—Isopropamide	2	8.4e-05
Compound—causes—Pulmonary congestion	1	8.3e-05
Compound—resembles—Benzyl alcohol	3	8.22e-05
Compound—causes—Erythema nodosum	2	8.17e-05
Compound—resembles—Ephedrine	1	8.11e-05
Compound—resembles—Benzatropine	4	7.96e-05
Compound—causes—Aphthous stomatitis	2	7.94e-05
Compound—causes—Sluggishness	1	7.94e-05
Compound—causes—Faecalith	1	7.89e-05
Compound—causes—Faecaloma	1	7.89e-05
Compound—causes—Oesophageal ulcer	1	7.85e-05
Compound—causes—Flank pain	2	7.74e-05
Compound—causes—Bleeding time prolonged	2	7.7e-05
Compound—causes—Chloasma	1	7.67e-05
Compound—causes—Autonomic neuropathy	1	7.66e-05
Compound—causes—Herpes virus infection	1	7.45e-05
Compound—causes—Lung infiltration	1	7.26e-05
Compound—causes—Peripheral sensory neuropathy	1	7.24e-05
Compound—causes—Blood glucose increased	1	7.07e-05
Compound—resembles—Mequitazine	4	7.02e-05
Compound—resembles—Selegiline	3	6.98e-05
Compound—causes—Amylase increased	2	6.9e-05
Compound—causes—Breast cancer	2	6.9e-05
Compound—causes—Joint stiffness	1	6.85e-05
Compound—resembles—Cyamemazine	4	6.8e-05
Compound—causes—Hoarseness	2	6.55e-05
Compound—resembles—Doxylamine	2	6.53e-05
Compound—causes—Viral diarrhoea	1	6.49e-05
Compound—causes—Pruritus generalised	2	6.48e-05
Compound—resembles—Acenocoumarol	4	6.26e-05
Compound—causes—Laryngeal oedema	1	5.94e-05
Compound—causes—Blood potassium decreased	2	5.82e-05
Compound—causes—Dyspnoea exertional	1	5.76e-05
Compound—causes—Trauma	1	5.68e-05
Compound—causes—Blepharospasm	1	5.65e-05
Compound—resembles—Dextropropoxyphene	3	5.629e-05
Compound—resembles—Trifluoperazine	9	5.626e-05
Compound—resembles—Methadyl Acetate	1	5.55e-05
Compound—causes—Nodule	1	5.47e-05
Compound—resembles—Pipotiazine	8	5.369e-05
Compound—resembles—Dimenhydrinate	1	5.36e-05
Compound—resembles—Fentanyl	3	5.341e-05
Compound—causes—Impaired healing	1	5.21e-05
Compound—resembles—Phenylpropanolamine	1	5.16e-05
Compound—resembles—Bortezomib	2	5.08e-05
Compound—resembles—Methadone	5	4.951e-05
Compound—causes—Interstitial lung disease	1	4.78e-05
Compound—causes—Pericarditis	1	4.78e-05
Compound—resembles—Propiomazine	4	4.759e-05
Compound—resembles—Thioridazine	6	4.662e-05
Compound—resembles—Ketoprofen	3	4.354e-05
Compound—resembles—Acepromazine	6	4.241e-05
Compound—resembles—Propranolol	3	4.042e-05
Compound—resembles—Aprindine	3	3.91e-05
Compound—causes—Feeling hot	1	3.69e-05
Compound—causes—Myositis	1	3.52e-05
Compound—resembles—Perphenazine	5	3.313e-05
Compound—resembles—Chloroquine	3	2.497e-05
Compound—resembles—Levomethadyl Acetate	1	2.42e-05
Compound—resembles—Thioproperazine	4	2.399e-05
Compound—resembles—Tripelennamine	2	2.32e-05
Compound—resembles—Propericiazine	1	1.96e-05
Compound—resembles—Piroxicam	2	1.931e-05
Compound—resembles—Carbinoxamine	2	1.882e-05
Compound—causes—Musculoskeletal pain	1	1.76e-05
Compound—resembles—Bifonazole	1	1.68e-05
Compound—resembles—Chlorphenamine	2	1.653e-05
Compound—resembles—Phenoxybenzamine	1	1.26e-05
Compound—resembles—Amodiaquine	1	9.9e-06
Compound—resembles—Fenbufen	1	7.69e-06
Compound—resembles—Quinacrine	1	5.76e-06
